Men,Women,VotingAgeCitizen,IncomePerCap,Poverty,Professional,Service,Unemployment,Hispanic,White,Black,Asian,Native,Pacific,Income,Employed
2035,2068,3333,26927,12.6,28.2,17.2,10.8,0.4,98.4,1.2,0.0,0.0,0.0,51744,1871
6638,6183,9066,34643,5.4,49.5,16.4,5.3,3.6,64.2,28.1,0.6,0.3,0.0,88362,6731
889,979,1420,17987,29.7,23.3,24.2,16.1,0.2,8.7,89.0,0.0,0.7,0.0,23875,848
1823,1659,2672,28761,5.3,30.5,17.5,7.1,1.5,90.6,0.5,0.3,0.1,0.0,64561,1717
3439,3898,4985,34720,37.4,52.0,22.3,10.2,17.4,18.8,59.7,1.7,0.0,0.0,47059,3409
1198,1277,2091,31228,11.0,48.7,12.0,17.4,0.5,92.0,7.5,0.0,0.0,0.0,47500,852
2200,2402,2935,16368,23.1,17.4,26.0,6.1,28.7,31.8,36.9,0.7,0.0,0.0,33192,2227
1996,2678,3795,27126,18.4,48.6,12.2,10.3,11.3,83.2,4.9,0.0,0.0,0.0,27451,823
2502,2749,3671,20748,21.4,25.7,23.1,11.2,29.1,55.1,3.2,6.9,0.0,0.7,47543,2127
2689,2837,2930,51345,2.5,75.2,4.5,3.8,2.7,29.7,7.2,52.9,2.8,0.0,105703,2982
1694,1674,2605,14032,50.0,28.2,33.6,7.7,5.0,69.0,12.3,0.3,5.1,0.0,18451,1453
2109,2151,3513,22671,20.2,25.4,17.8,9.8,23.5,68.5,2.7,5.3,0.0,0.0,40197,1746
2145,1971,3228,35550,4.8,42.6,11.2,4.7,4.9,85.9,1.6,6.2,0.3,0.0,75750,2267
2724,3179,4858,20125,14.8,24.5,11.8,5.2,0.0,94.2,0.0,0.0,4.6,0.0,37560,2516
1154,989,1831,28267,21.2,37.7,33.2,5.2,17.3,79.1,0.4,0.7,0.0,0.0,48664,1232
1602,1817,2798,28753,6.9,41.7,17.3,7.7,4.1,93.5,0.6,1.0,0.0,0.0,57435,1568
1373,1508,2072,36203,13.2,54.6,11.1,5.4,3.0,74.7,17.3,1.7,1.9,0.0,99265,1413
2812,2536,4409,24002,11.4,30.3,12.2,12.6,4.4,4.6,85.5,0.0,0.7,0.0,61865,2100
1245,1298,1988,37612,11.8,39.4,18.2,8.3,2.8,95.7,0.7,0.3,0.0,0.0,51490,1184
430,446,712,45224,6.4,47.7,11.4,7.0,1.7,84.1,10.6,0.7,0.0,0.0,44342,428
1457,1478,1966,15758,29.0,27.8,29.6,15.9,55.2,31.1,7.3,0.8,0.7,0.0,33032,1029
1673,1778,2621,21088,18.5,26.3,25.3,1.4,0.7,91.2,3.7,0.0,1.2,0.3,38536,1484
1782,1808,2347,21229,11.7,22.2,15.1,5.7,42.0,52.4,5.6,0.0,0.0,0.0,51667,1593
2061,1917,3165,35853,4.5,49.0,12.0,6.3,1.5,85.2,11.5,0.2,0.1,0.0,67389,2096
2343,2633,3328,83829,0.0,69.7,7.5,5.8,13.3,67.5,0.0,15.7,0.0,0.0,183171,2488
547,651,1084,45164,11.9,45.4,17.5,4.6,0.8,91.0,0.7,1.8,0.0,0.0,59896,542
4511,4677,5826,39901,4.8,49.0,13.4,2.7,11.2,76.9,2.9,5.8,0.3,0.0,101984,4799
1019,1110,1612,22505,27.2,25.4,30.6,13.2,0.3,67.2,25.1,3.9,0.0,0.0,35493,1054
1826,1736,2659,32105,4.5,35.5,14.0,5.7,2.6,91.7,0.0,0.0,0.0,0.0,83109,1819
1987,2368,3405,43090,4.6,51.7,17.8,4.5,2.6,94.3,1.5,0.6,0.0,0.0,72853,2421
1762,1617,1650,17245,33.5,22.9,26.5,6.7,77.0,9.7,1.4,10.5,0.0,0.0,42792,1509
1334,1273,1892,10702,52.7,46.1,16.6,16.1,8.3,54.0,17.1,17.7,0.0,0.0,20365,1376
1770,2032,3200,37089,6.0,40.5,20.7,7.0,8.3,88.3,0.0,2.2,0.4,0.0,62431,1611
2257,2749,3877,31863,10.5,31.9,15.6,10.9,6.6,80.8,2.9,5.5,0.0,0.0,46955,2667
565,258,765,23612,20.5,44.9,12.8,2.0,19.9,66.0,8.1,1.0,0.0,0.4,77188,243
1654,1633,2561,25690,11.1,23.3,26.0,4.7,0.5,97.3,0.1,0.3,0.2,0.0,49007,1448
3442,3677,4635,22081,25.8,30.5,20.0,13.5,37.2,45.0,13.4,0.5,0.3,0.0,32153,3449
1664,1495,2456,24829,11.5,24.1,22.6,7.0,2.8,94.1,0.4,0.4,0.2,0.0,49592,1359
2798,3203,3948,16326,25.9,20.9,39.6,6.3,19.5,53.1,23.1,0.1,0.0,0.1,36147,2148
1037,1215,1496,15043,36.9,19.8,35.3,12.2,20.4,3.5,75.6,0.3,0.0,0.0,24946,923
669,563,852,22781,11.3,21.6,15.4,6.2,14.4,84.2,0.1,0.0,0.0,0.0,61538,499
2431,2519,3158,19861,24.1,24.5,33.8,18.5,15.9,0.9,79.1,0.0,0.0,0.0,46453,2099
2340,2382,3109,49766,3.2,62.8,7.2,4.6,4.3,77.1,1.7,14.7,0.0,0.0,141055,2203
3107,3584,5156,25870,12.0,34.5,14.1,3.0,9.2,89.2,0.0,0.0,0.2,0.0,53117,3131
1618,1896,2751,42041,4.4,62.1,13.4,3.6,11.6,78.5,0.8,4.4,0.9,0.0,93717,1808
3043,3257,5110,26834,19.5,42.9,13.5,9.1,26.5,60.4,11.5,0.3,0.1,0.0,49645,2918
1496,1510,2421,28397,9.6,19.3,16.6,6.8,9.5,88.0,0.0,0.7,0.0,0.0,67895,1500
2200,2201,3147,9100,53.0,15.9,25.5,11.6,99.6,0.0,0.0,0.0,0.4,0.0,16453,1512
1825,1778,2668,24159,39.2,40.6,11.9,19.5,2.5,30.6,65.9,0.8,0.0,0.0,29786,1356
1564,1804,2385,28375,7.1,33.6,18.3,3.3,4.8,93.0,0.3,0.2,0.0,0.0,61674,1497
1846,2004,3037,30792,9.0,30.3,16.6,6.1,1.6,95.7,1.2,0.3,0.2,0.1,62240,1870
4828,4254,6705,44768,6.9,44.7,12.8,5.3,11.1,86.3,0.0,2.1,0.0,0.0,92523,4311
2706,3066,4686,24847,11.6,29.6,15.1,2.8,1.1,98.6,0.1,0.0,0.2,0.0,50784,2468
2879,3127,4265,36380,2.3,49.0,10.7,4.2,12.5,65.5,0.9,20.6,0.0,0.0,95149,3296
3806,4558,5068,43288,7.1,55.5,12.1,5.5,15.7,44.6,5.7,32.1,0.1,0.0,103781,4116
2237,2346,3670,27667,15.2,26.8,20.0,5.0,13.2,81.0,3.3,1.1,0.2,0.0,44861,1792
2234,2478,3293,10939,55.9,14.5,31.7,24.7,15.3,37.3,36.7,0.1,0.9,0.0,22826,1513
1943,1686,2785,26478,10.5,22.3,19.6,3.0,2.4,92.6,3.4,0.0,0.0,0.0,60423,1890
1282,1336,1798,24695,23.3,42.6,19.6,6.5,16.4,42.7,36.7,2.9,0.0,0.0,37222,1419
1174,1043,1849,34899,6.4,36.6,12.2,2.4,1.8,96.3,0.0,0.5,0.5,0.0,65221,1011
2329,1756,2280,26132,16.6,33.9,11.7,10.0,20.4,46.0,26.0,6.2,0.0,0.0,53974,1769
1440,1243,1482,23475,6.4,19.6,24.0,10.1,61.1,21.7,15.7,0.3,0.3,0.0,56806,1349
2267,2855,3937,36229,17.3,38.2,18.5,4.3,6.9,82.5,6.4,1.9,0.0,0.0,59063,2531
830,1042,1539,24825,22.2,21.8,27.8,11.5,3.1,50.4,42.6,0.0,0.0,0.0,34824,1000
3225,3140,2858,14080,23.5,15.7,15.6,4.6,58.3,31.5,6.3,1.0,1.5,0.7,40880,2530
1677,1908,2750,23537,15.7,33.3,22.0,5.3,3.8,92.3,0.3,1.8,0.0,0.0,42219,1562
1569,1737,1532,14733,28.8,14.0,27.1,11.5,93.0,3.8,0.2,0.0,0.0,0.0,32563,1454
1669,1702,2671,29987,6.6,29.1,12.7,5.2,1.6,92.5,1.9,3.1,0.0,0.0,57868,1630
2649,2599,4354,52264,6.3,43.9,15.7,3.1,3.0,93.8,1.0,0.1,0.0,0.0,88598,3027
471,509,700,11127,41.3,21.7,37.1,30.2,7.6,19.9,67.6,0.0,0.0,0.0,23672,240
1539,1515,2412,27783,14.6,21.5,19.7,8.9,31.0,60.3,1.3,4.2,0.3,0.0,55323,1626
2718,3272,5116,30054,7.2,42.3,24.5,8.2,8.9,78.5,8.2,2.8,0.2,0.0,40683,3075
2574,2684,2639,19695,23.5,32.4,31.5,8.5,42.1,39.3,15.7,0.7,0.3,0.0,47549,2789
2026,2101,3007,48798,5.8,61.5,12.1,5.3,7.5,41.1,0.3,43.8,0.4,0.8,134688,1957
2416,2238,3510,46227,2.6,51.1,12.6,5.2,9.4,82.3,2.6,1.8,0.0,0.0,111417,2410
796,835,1167,15014,31.2,21.2,27.6,11.9,6.4,87.9,0.1,0.0,0.0,0.0,29875,680
2311,1780,3437,22428,27.3,23.7,16.8,6.2,6.1,88.1,2.8,1.5,0.0,0.7,30093,1966
2915,2476,4359,29660,8.2,26.0,23.3,6.9,10.1,82.0,2.2,5.4,0.0,0.0,63850,2861
2571,2589,3644,69023,3.8,54.7,6.6,2.2,9.8,81.1,1.9,6.8,0.0,0.0,113403,2752
652,563,467,20505,17.0,22.7,7.4,12.3,69.5,29.6,0.8,0.0,0.0,0.0,44167,511
1719,1741,2665,24976,11.1,32.7,16.8,5.2,1.8,95.6,1.4,0.3,0.0,0.0,51895,1629
1155,1169,1866,27703,16.7,47.4,9.5,2.1,6.7,89.4,0.0,1.1,0.9,0.0,52763,820
1853,1907,2691,36991,9.3,30.6,20.5,4.8,33.9,59.8,1.7,2.4,0.0,0.0,73841,1889
1768,1803,2626,24214,24.8,21.3,35.2,8.7,50.9,48.2,0.2,0.7,0.0,0.0,47428,1268
